index,Name,NACE code,Last avail. year,Year,Book Value per share USD,Capital expenditure per share USD,Cash flow USD,Current ratio (x),Dividends per share USD,Market capitalisation (mil) m USD,Market price - high USD,Market price - low USD,Market price - open USD,Market price - year end USD,Nominal value,Number of employees,Operating profit per share USD,Operating revenue (Turnover) USD,Operating revenue (Turnover) per share USD,P/L before tax USD,Net income,Profit margin (%),ROCE using P/L before tax (%),ROE using P/L before tax (%),Shareholders funds USD,Shares outstanding,Solvency ratio (Asset based) (%),Total assets USD,Working Capital per share USD,Market price - year(+1) end USD,Dividend yield,Return,logR,Ticker,Yf Market price,Yf Market price - year(+1),Yf Return,Yf logR
79527,TELIA COMPANY AB,6190,2018,2018,2.64,,1877694.0,1.22,0.26,20296.21,4.92,3.95,4.1,4.69,3.2,20836.0,0.39,10135325.0,2.34,1430741.0,354950.0,14.12,7.37,12.51,11432751.0,4330085.0,41.19,27756415.0,0.03,,0.05543710021321961,,,TELIA.ST,39.209999084472656,41.95000076293945,0.06988017705799565,0.06754665814518415
79528,AB SKF,2815,2018,2018,9.38,,1089413.0,2.26,0.72,6334.97,22.49,14.22,20.28,15.01,0.63,44428.0,2.88,9724995.0,23.05,1137536.0,813403.0,11.7,16.95,28.74,3958375.0,421995.0,40.67,9733258.0,6.31,,0.047968021319120584,,,SKF-B.ST,170.5,154.39999389648438,-0.09442818829041423,-0.09918869866343807
79529,ASSA ABLOY AB,2512,2018,2018,5.49,,1168129.0,1.04,0.41,18630.25,21.75,17.32,19.09,17.66,1.0,48353.0,0.66,9418950.0,8.93,591434.0,307385.0,6.28,7.65,10.21,5794868.0,1055050.0,48.7,11898797.0,1.9,,0.0232163080407701,,,ASSA-B.ST,180.3500061035156,200.6999969482422,0.1128360973442178,0.10691179940456023
79530,SSAB AB,2410,2018,2018,21.85,,817311.0,1.66,0.57,1035.54,5.97,3.3,5.01,3.4,,15707.0,1.7,8433711.0,27.73,491615.0,396262.0,5.83,7.3,7.4,6645006.0,304183.0,64.35,10326590.0,5.59,,0.1676470588235294,,,SSAB-A.ST,47.0,33.43000030517578,-0.2887233977622174,-0.3406938921492515
79531,NCC AB,4120,2018,2018,3.46,,12394.0,1.13,0.51,1463.18,19.09,13.91,17.5,15.39,8.0,16523.0,-0.89,6404279.0,67.34,-94795.0,-84411.0,-1.48,-7.71,-28.8,329157.0,95098.0,10.92,3014783.0,6.3,,0.03313840155945419,,,NCC-B.ST,158.6999969482422,142.9499969482422,-0.0992438582411356,-0.10452071088274294
79532,BOLIDEN AB,729,2018,2018,15.93,,1354146.0,1.82,0.98,5862.83,36.67,20.97,31.33,21.44,2.0,5819.0,3.6,5870012.0,21.46,978428.0,803689.0,16.67,18.02,22.46,4355754.0,273511.0,66.43,6557134.0,2.9,,0.04570895522388059,,,BOL.ST,292.5,264.60000610351557,-0.0953845945178953,-0.10024539192410364
79533,PEAB AB,4120,2018,2018,4.84,,342556.0,1.32,0.53,2115.77,9.59,6.99,7.89,8.08,5.0,14614.0,1.04,5837855.0,22.3,281146.0,234474.0,4.82,14.86,22.19,1267055.0,261730.0,30.41,4166499.0,2.32,,0.0655940594059406,,,PEAB-B.ST,75.0999984741211,80.3499984741211,0.06990679236576962,0.06757153474099076
79534,AXFOOD AB,4711,2018,2018,2.41,,258257.0,1.01,0.78,3554.79,21.4,15.14,17.65,16.94,5.0,10215.0,1.08,5423729.0,25.84,225095.0,173399.0,4.15,34.51,44.52,505572.0,209871.0,36.98,1367098.0,-0.21,,0.04604486422668242,,,AXFO.ST,142.75,173.0,0.2119089316987741,0.19219674596165934
79535,SKANDINAVISKA ENSKILDA BANKEN AB,6419,2018,2018,7.66,,,,0.0,20861.38,11.47,8.84,10.75,9.61,10.0,15562.0,,5121257.0,2.36,3046493.0,2583015.0,59.49,,18.34,16612961.0,2170019.0,5.8,286674709.0,,,0.0,,,SEB-A.ST,87.44000244140625,80.4800033569336,-0.0795974255505833,-0.08294412372638457
79536,SWEDBANK AB,6419,2018,2018,13.57,,,,0.0,24994.32,24.75,19.78,22.07,22.08,21.0,14865.0,,4937585.0,4.36,2964650.0,2364619.0,60.04,,19.3,15364664.0,1132006.0,6.13,250786274.0,,,0.0,,,SWED-A.ST,187.0,131.35000610351562,-0.29759355024857953,-0.3532430542554665
79537,SVENSKA HANDELSBANKEN AB,6419,2018,2018,8.32,,,,0.0,20951.64,13.25,10.37,12.59,10.98,4.3,12307.0,,4887117.0,2.56,2457850.0,1937987.0,50.29,,15.47,15884080.0,1908922.0,4.78,332526522.0,,,0.0,,,SHB-A.ST,104.1999969482422,98.0999984741211,-0.05854125386540138,-0.06032474901476696
79538,SAS AB,5110,2018,2018,6.0,,364736.0,0.88,0.0,296.59,3.01,1.79,2.82,2.25,,10146.0,1.69,4865835.0,36.92,222084.0,172902.0,4.56,13.03,28.08,790842.0,131803.0,21.25,3721246.0,-0.05,,0.0,,,SAS.ST,19.799999237060547,18.700000762939453,-0.05555548063164453,-0.057158334508751824
79539,INVESTOR AB,6420,2018,2018,80.33,,4578.0,2.08,2.44,19101.84,46.88,38.86,41.94,41.94,6.25,21162.0,0.84,4745204.0,10.42,-102052.0,-251446.0,-2.15,0.26,-0.28,36588062.0,455484.0,78.77,46451397.0,1.62,,0.05817835002384359,,,INVE-B.ST,369.20001220703125,418.70001220703125,0.13407366837312715,0.12581616648753632
79540,ALFA LAVAL AB,2899,2018,2018,6.28,,690360.0,1.23,0.56,8882.1,27.89,20.87,21.74,21.18,2.5,17228.0,1.55,4641701.0,11.07,658315.0,504567.0,14.18,16.47,24.98,2634934.0,419456.0,40.64,6484000.0,3.32,,0.02644003777148253,,,ALFA.ST,197.1499938964844,213.3999938964844,0.0824245523869112,0.07920348090146542
79541,HUSQVARNA AB,2830,2018,2018,3.85,,350818.0,1.5,0.31,3403.06,10.04,7.0,8.71,7.34,,14076.0,0.55,4591568.0,9.9,174293.0,135325.0,3.8,6.85,9.75,1787477.0,463904.0,41.47,4310645.0,2.42,,0.04223433242506812,,,HUSQ-B.ST,80.4800033569336,75.94000244140625,-0.05641153983794173,-0.05806516111002667
79542,HEXAGON AB,4690,2018,2018,17.67,,1132291.0,1.13,0.71,15702.51,61.5,44.33,46.0,45.56,,20048.0,3.03,4315049.0,12.52,1033134.0,835850.0,23.94,11.86,16.96,6090487.0,344693.0,54.93,11088300.0,3.89,,0.0155838454784899,,,HEXA-B.ST,496.0,485.0,-0.02217741935483871,-0.022427035787444326
79545,TRELLEBORG AB,2932,2018,2018,13.87,,507581.0,1.55,0.59,3774.19,24.02,15.04,21.19,15.56,2.0,24045.0,2.0,3842143.0,15.84,472968.0,356178.0,12.31,10.73,14.06,3363703.0,242572.0,58.22,5778009.0,3.72,,0.037917737789203085,,,TREL-B.ST,209.8000030517578,143.9499969482422,-0.3138703772433711,-0.3766887146501692
79546,SAAB AB,3030,2018,2018,16.35,,248878.0,1.78,0.5,4607.07,52.08,33.42,44.55,34.37,16.0,17096.0,1.89,3713405.0,27.7,200531.0,146602.0,5.4,6.03,9.15,2192113.0,134054.0,34.98,6266944.0,8.66,,0.014547570555717197,,,SAAB-B.ST,349.33599853515625,297.8999938964844,-0.14723934794683202,-0.15927636634754033
79547,TELE2 AB,6190,2018,2018,6.1,,351712.0,0.53,0.51,8396.59,13.51,10.37,11.3,12.61,1.25,5184.0,0.62,3707711.0,5.57,318439.0,95241.0,8.59,5.32,7.84,4059981.0,665795.0,44.0,9227574.0,0.03,,0.04044409199048375,,,TEL2-B.ST,100.1500015258789,123.8499984741211,0.23664499837394484,0.21240206626722752
79548,BILIA AB,4519,2018,2018,3.17,,157768.0,1.05,0.52,950.96,9.97,7.19,9.03,9.25,,4785.0,1.03,3169648.0,30.83,102945.0,81954.0,3.25,14.91,31.63,325473.0,102800.0,24.15,1347781.0,3.24,,0.05621621621621622,,,BILI-A.ST,74.0,79.3499984741211,0.07229727667731208,0.06980333453852021
79549,AAK AB,1042,2018,2018,3.96,,209241.0,1.96,0.21,3476.12,17.52,12.62,13.05,13.7,10.0,3609.0,0.86,3100869.0,12.22,204216.0,147607.0,6.59,15.64,20.33,1004444.0,253731.0,49.88,2013689.0,2.4,,0.015328467153284672,,,AAK.ST,122.83300018310548,138.67999267578122,0.12901250046040466,0.12134335725893468
79550,GETINGE AB,3109,2018,2018,8.63,,93901.0,1.41,0.12,2267.34,13.45,8.35,13.26,8.92,0.5,10515.0,-0.12,2727049.0,10.73,-69672.0,-107970.0,-2.56,-0.52,-3.18,2194569.0,254152.0,45.34,4840446.0,3.86,,0.013452914798206277,,,GETI-B.ST,94.94000244140624,108.25,0.140193777294331,0.13119822804417314
79551,BILLERUDKORSNAS AB,1712,2018,2018,7.7,,284719.0,1.09,0.48,2452.74,16.37,10.84,15.63,11.78,5.0,4580.0,0.77,2663518.0,12.79,149729.0,115786.0,5.62,5.44,9.34,1602800.0,208220.0,42.58,3764320.0,1.3,,0.04074702886247878,,,BILL.ST,129.10000610351562,123.3499984741211,-0.044539173954678435,-0.04556151452497497
79552,LUNDIN PETROLEUM AB,910,2018,2018,-1.13,,1134400.0,1.16,13.71,8414.46,38.74,19.97,21.09,24.72,0.01,408.0,4.12,2617400.0,7.69,1247900.0,222100.0,47.68,25.81,,-384000.0,340386.0,-6.57,5842500.0,0.48,,0.5546116504854369,,,LUPE.ST,209.6000061035156,314.79998779296875,0.5019082949716029,0.4067364961994338
79553,RATOS AB,6420,2018,2018,4.96,,80280.0,1.09,0.07,622.55,4.35,2.43,4.01,2.6,,9052.0,0.13,2606463.0,10.88,-7704.0,-50021.0,-0.3,1.82,-0.65,1186887.0,239504.0,42.86,2769367.0,0.67,,0.026923076923076925,,,RATO-B.ST,32.540000915527344,18.82999992370605,-0.4213276154297583,-0.5470187913089973
79554,NIBE INDUSTRIER AB,2521,2018,2018,3.87,,308725.0,2.03,0.16,4522.39,12.3,7.71,8.78,10.15,0.63,15100.0,0.68,2529086.0,5.68,297783.0,231571.0,11.77,10.57,17.3,1721824.0,445484.0,47.76,3605435.0,1.45,,0.015763546798029555,,,NIBE-B.ST,79.0199966430664,119.0500030517578,0.5065807151259077,0.4098426560659559
79555,L E LUNDBERGFORETAGEN AB,6831,2018,2018,70.4,,517854.0,0.84,0.58,4432.95,36.54,28.36,34.36,29.16,10.0,3245.0,2.62,2397892.0,15.78,918917.0,400840.0,38.32,6.79,8.59,10701414.0,152000.0,70.61,15156205.0,2.63,,0.01989026063100137,,,LUND-B.ST,299.0,294.0,-0.016722408026755852,-0.016863806052004802
79556,SVENSKA CELLULOSA AB SCA,1724,2018,2018,6.84,,548112.0,1.21,0.22,4893.43,12.19,7.54,9.42,7.67,,4121.0,0.58,2309238.0,3.62,443603.0,408544.0,19.21,7.53,10.17,4361448.0,637755.0,64.51,6760568.0,0.66,,0.028683181225554112,,,SCA-B.ST,88.91999816894531,80.5999984741211,-0.09356724995671356,-0.09823843792275534
79557,MODERN TIMES GROUP AB,6020,2018,2018,11.76,,176414.0,0.94,0.0,2173.62,44.04,31.35,38.45,32.71,,3305.0,2.51,2215784.0,33.35,170385.0,115897.0,7.69,17.69,21.81,781247.0,66441.0,34.43,2269266.0,3.63,,0.0,,,MTG-B.ST,118.56999969482422,119.0999984741211,0.004469923088985302,0.0044599626533322
79558,BRAVIDA HOLDING AB,4120,2018,2018,2.89,,109868.0,0.84,0.22,1383.71,8.33,5.65,6.13,6.84,,11475.0,0.67,2155490.0,10.66,132981.0,106183.0,6.17,17.2,22.74,584846.0,202167.0,36.57,1599339.0,0.79,,0.032163742690058485,,,BRAV.ST,59.70000076293945,81.94999694824219,0.37269674875976017,0.3167772347724608
79559,LOOMIS AB,8020,2018,2018,13.09,,313079.0,1.18,1.17,2294.44,39.84,28.38,38.43,31.93,,24838.0,3.35,2149796.0,29.92,229673.0,171725.0,10.68,15.35,24.42,940354.0,71851.0,45.55,2064603.0,,,0.036642655809583466,,,LOOM-B.ST,300.3999938964844,320.0,0.06524635985934688,0.06320609622175426
79560,SWECO AB,7112,2018,2018,6.37,,179652.0,1.26,0.67,2432.48,27.31,17.15,20.42,21.98,,15306.0,1.57,2093410.0,18.92,168375.0,139791.0,8.04,16.65,23.89,704763.0,110644.0,42.92,1642214.0,4.81,,0.03048225659690628,,,SWEC-B.ST,172.5,224.0,0.2985507246376812,0.2612488153836253
79561,DOMETIC GROUP AB (PUBL),2910,2018,2018,6.05,,234809.0,2.24,0.24,1816.71,10.88,5.94,9.37,6.14,,7991.0,0.95,2040709.0,6.9,240727.0,175967.0,11.8,8.64,13.45,1789710.0,295833.0,46.99,3808647.0,1.49,,0.03908794788273616,,,DOM.ST,76.25,73.05000305175781,-0.04196717309170082,-0.04287323551452577
79562,SCANDIC HOTELS GROUP AB,5510,2018,2018,8.46,,172395.0,0.37,0.39,898.05,13.32,8.23,13.18,8.72,,18907.0,1.07,2010563.0,19.52,90440.0,75255.0,4.5,7.22,10.38,871463.0,102985.0,44.0,1980416.0,0.03,,0.04472477064220183,,,SHOT.ST,79.94999694824219,83.0,0.038148882653895724,0.037439206687464935
79563,HOLMEN AB,1712,2018,2018,21.07,,369018.0,1.18,1.02,2427.26,26.93,19.51,24.36,19.53,50.0,2955.0,1.73,1932963.0,15.56,263058.0,253232.0,13.61,7.76,10.05,2618633.0,124266.0,63.54,4121391.0,2.93,,0.05222734254992319,,,HOLM-B.ST,226.5,201.5,-0.11037527593818984,-0.11695556353635105
79564,INDUTRADE AB,2829,2018,2018,5.74,,211139.0,1.55,0.5,2774.37,27.94,22.44,24.56,22.96,1.0,6778.0,1.69,1885398.0,15.6,195395.0,152632.0,10.36,19.03,28.14,694268.0,120855.0,44.19,1570979.0,4.2,,0.02177700348432056,,,INDT.ST,215.1999969482422,264.60000610351557,0.2295539491441287,0.20665146064120904
79565,JM AB,4120,2018,2018,10.66,,159778.0,2.01,1.34,1344.09,23.74,16.14,20.9,19.32,,2630.0,2.99,1750743.0,25.16,201760.0,158884.0,11.52,17.98,27.2,741832.0,69583.0,32.18,2305442.0,5.05,,0.06935817805383022,,,JM.ST,189.5,166.60000610351562,-0.12084429496825527,-0.1287932581539914
79566,BONAVA AB,4120,2018,2018,62.65,,156316.0,1.8,4.76,159.67,14.85,10.96,12.62,12.17,,2079.0,14.08,1564056.0,119.21,169045.0,141355.0,10.81,17.04,20.57,822000.0,13120.0,34.93,2353007.0,-2.15,,0.3911257189811009,,,BONAV-A.ST,114.5,117.5,0.026200873362445413,0.025863510589919373
79567,AF POYRY AB,7112,2018,2018,8.23,,112324.0,1.19,0.58,1327.85,24.68,17.11,20.2,17.91,5.0,10928.0,1.81,1560595.0,21.05,123155.0,94906.0,7.89,13.12,20.18,610192.0,74143.0,41.38,1474733.0,,,0.03238414293690675,,,AF-B.ST,162.19900512695312,155.0,-0.04438378103070648,-0.04539889112397733
79568,INTRUM JUSTITIA AB,6619,2018,2018,21.79,,316652.0,0.99,1.06,3021.15,36.82,21.92,33.94,22.97,0.02,7910.0,3.44,1547196.0,11.76,300127.0,216163.0,19.4,6.1,10.47,2866394.0,131541.0,33.76,8489426.0,0.2,,0.04614714845450588,,,INTRUM.ST,236.6999969482422,267.0,0.1280101539603456,0.12045515477324675
79569,HEXPOL AB,2017,2018,2018,2.91,,212702.0,1.9,0.26,2576.65,11.59,7.62,9.28,7.82,,4640.0,0.73,1539269.0,4.67,241285.0,183783.0,15.68,18.26,25.15,959335.0,329436.0,59.44,1614077.0,0.48,,0.03324808184143223,,,HPOL-B.ST,77.3499984741211,78.1500015258789,0.010342638235803827,0.010289519100353757
79570,ATTENDO AB (PUBL),8710,2018,2018,4.31,,158661.0,1.22,0.07,1415.17,10.24,8.09,9.77,8.79,,18269.0,0.5,1486791.0,9.23,65541.0,115227.0,4.41,7.5,9.45,693486.0,161048.0,45.13,1536589.0,,,0.007963594994311719,,,ATT.ST,78.6500015258789,46.79999923706055,-0.404958698930711,-0.5191244622836869
79571,NOBIA AB,3102,2018,2018,2.56,,120475.0,1.28,0.44,936.25,8.65,5.2,7.77,5.5,0.33,6081.0,0.66,1477971.0,8.68,110091.0,84076.0,7.45,18.99,25.3,435118.0,170293.0,50.18,867109.0,0.88,,0.08,,,NOBI.ST,75.1500015258789,54.5,-0.2747837805268414,-0.3212854348342281
79572,BEIJER REF AB,2611,2018,2018,3.6,,97728.0,2.36,0.36,1914.12,22.46,11.05,12.1,16.29,17.5,3703.0,1.03,1454733.0,12.38,117779.0,85900.0,8.1,15.98,27.87,422625.0,117516.0,38.45,1099229.0,3.95,,0.02209944751381216,,,BEIJ-B.ST,115.33300018310548,149.5,0.2962465188857497,0.2594727950310892
79573,SWEDISH MATCH AB,1200,2018,2018,-3.55,,445836.0,1.51,1.13,6858.28,59.6,33.44,36.01,38.98,1.46,6036.0,3.05,1447712.0,8.23,505907.0,399500.0,34.95,51.73,,-624707.0,175950.0,-40.0,1561711.0,1.82,,0.028989225243714726,,,SWMA.ST,377.5,473.8999938964844,0.25536422224234273,0.2274257474051307
79574,GRANGES AB,2442,2018,2018,5.73,,116232.0,1.8,0.36,678.76,14.28,8.66,9.32,8.99,,1699.0,1.39,1441460.0,19.09,94795.0,76818.0,6.58,15.28,21.92,432438.0,75517.0,44.15,979545.0,3.15,,0.04004449388209121,,,GRNG.ST,97.9499969482422,95.6999969482422,-0.02297090423789317,-0.023238846664155655
79575,ELEKTA AB (PUBL),2660,2019,2018,2.49,,204091.0,1.29,0.17,4217.54,11.47,7.61,10.61,11.44,2.0,3716.0,0.47,1303813.0,3.54,158073.0,126435.0,12.12,12.06,17.23,917489.0,368588.0,35.51,2583581.0,1.06,11.87,0.014860139860139862,0.037587412587412564,0.036898222669924735,EKTA-B.ST,89.05999755859375,115.5999984741211,0.2980013658552632,0.2608256705581267
79576,ELTEL AB,3512,2018,2018,1.84,,-10305.0,1.02,0.0,223.88,3.58,1.41,3.24,1.43,,7376.0,-0.08,1362093.0,8.7,-20610.0,-26679.0,-1.51,-2.35,-7.14,288540.0,156649.0,30.37,950121.0,0.25,,0.0,,,ELTEL.ST,26.0,17.270000457763672,-0.3357692131629357,-0.4091256193566027
79577,LIFCO AB,6420,2018,2018,8.89,,198857.0,0.99,0.55,3099.67,47.01,31.6,32.04,36.57,,4926.0,2.51,1338179.0,15.79,207454.0,155088.0,15.5,19.29,27.53,753445.0,84767.0,48.82,1543400.0,3.27,,0.015039649986327591,,,LIFCO-B.ST,321.0,379.0,0.1806853582554517,0.1660950819524105
79578,INVESTMENT AB LATOUR,6430,2018,2018,4.12,,293875.0,1.15,0.3,7405.61,13.16,9.96,11.25,12.51,0.83,5128.0,0.5,1333043.0,2.25,295438.0,260825.0,22.16,10.46,12.1,2441102.0,592198.0,72.47,3368281.0,0.53,,0.023980815347721826,,,LATO-B.ST,94.9000015258789,124.5,0.31190724971747524,0.27148199421007196
79579,DUSTIN GROUP AB (PUBL),6190,2019,2018,2.34,,42170.0,1.0,0.34,763.33,10.18,6.97,7.32,9.88,,1152.0,0.63,1130854.0,14.64,42192.0,33470.0,3.73,11.05,23.36,180637.0,77227.0,26.66,677648.0,0.14,8.24,0.034412955465587036,-0.16599190283400814,-0.18151216783839613,DUST.ST,71.8916015625,87.19999694824219,0.21293718672317533,0.19304484521069815
79580,EWORK GROUP AB,7490,2018,2018,1.01,,9459.0,1.04,0.5,159.38,12.57,8.92,11.81,9.24,,297.0,0.69,1232183.0,71.47,11357.0,8809.0,0.92,68.65,65.36,17375.0,17240.0,4.69,370317.0,,,0.05411255411255411,,,EWRK.ST,97.0999984741211,93.0,-0.04222449576262164,-0.043141866429513336
79581,ELANDERS AB,5819,2018,2018,9.01,,58049.0,1.45,0.34,326.58,10.89,7.03,9.16,9.74,10.0,6652.0,1.51,1207923.0,36.01,40899.0,28349.0,3.39,8.59,13.53,302293.0,33543.0,34.99,863882.0,4.77,,0.034907597535934295,,,ELAN-B.ST,80.19999694824219,92.0,0.1471322132265548,0.13726510022841518
79582,ACADEMEDIA AB,7010,2018,2018,4.52,,75950.0,0.56,0.0,569.88,7.56,5.35,6.36,5.42,,11863.0,0.66,1205612.0,11.47,61898.0,48068.0,5.13,9.51,13.02,475330.0,105139.0,45.42,1046462.0,,,0.0,,,ACAD.ST,54.4000015258789,52.0,-0.04411767387060071,-0.04512046332971382
79583,KINDRED GROUP PLC,9329,2018,2018,1.61,,226488.0,0.83,0.62,2096.68,15.52,8.89,13.11,9.11,0.06,1465.0,0.87,1152243.0,5.01,189798.0,167073.0,16.47,34.58,51.2,370708.0,230126.0,38.64,959526.0,,,0.06805708013172339,,,KIND-SDB.ST,114.1500015258789,93.0999984741211,-0.18440650696781266,-0.20383921844977407
79584,ADDTECH AB,7490,2018,2018,4.19,,95732.0,1.19,0.56,1354.84,23.72,16.64,17.98,20.85,2.0,2759.0,1.5,1100810.0,16.94,93463.0,71313.0,8.49,23.45,34.33,272285.0,64969.0,35.77,761210.0,3.91,,0.026858513189448444,,,ADDT-B.ST,168.0,193.0,0.1488095238095238,0.13872620950162656
79585,NOBINA AB,4931,2018,2018,1.79,,118031.0,0.79,0.41,617.16,8.3,5.41,6.01,6.98,,10547.0,0.7,1059887.0,12.0,43010.0,39090.0,4.06,8.62,27.17,158319.0,88356.0,16.06,985736.0,0.14,,0.058739255014326634,,,NOBINA.ST,53.849998474121094,59.849998474121094,0.11142061597055464,0.10563903124225904
79586,COOR SERVICE MANAGEMENT HOLDING AB,7490,2018,2018,2.52,,38967.0,0.91,0.45,753.13,8.66,6.53,6.99,7.86,4.0,11174.0,0.26,1059490.0,11.06,17530.0,11612.0,1.66,5.34,7.26,241620.0,95812.0,33.43,722851.0,0.39,,0.05725190839694656,,,COOR.ST,66.90000152587889,82.80000305175781,0.2376681788225119,0.2132291083056549
79587,LINDAB INTERNATIONAL AB,2599,2018,2018,6.33,,62750.0,1.67,0.19,558.04,8.32,6.26,7.65,7.09,1.0,5071.0,0.8,1042965.0,13.25,59289.0,43992.0,5.69,9.49,11.9,498426.0,78708.0,57.22,871128.0,2.67,,0.02679830747531735,,,LIAB.ST,63.099998474121094,84.5999984741211,0.3407290098242664,0.29321350321053263
79588,SWEDISH ORPHAN BIOVITRUM AB,2120,2018,2018,3.69,,324066.0,0.95,0.0,5889.91,33.45,12.34,12.61,21.55,,902.0,1.28,1021084.0,3.74,344090.0,269958.0,33.7,30.68,34.09,1009367.0,273322.0,52.61,1918577.0,1.01,,0.0,,,SOBI.ST,148.9499969482422,218.1000061035156,0.4642498192148469,0.3813430425217043
79589,SCANDI STANDARD AB,147,2018,2018,2.71,,49575.0,1.31,0.22,456.57,7.5,5.81,7.09,6.91,,3005.0,0.51,987026.0,14.94,26462.0,22554.0,2.68,7.54,14.76,179317.0,66061.0,29.06,617114.0,1.02,,0.03183791606367583,,,SCST.ST,57.4000015258789,61.20000076293945,0.06620207554083965,0.06410287207583469
79590,CLAS OHLSON AB,4759,2019,2018,4.35,,67118.0,1.46,0.79,660.9,19.85,9.79,16.91,11.04,1.25,2951.0,0.9,947390.0,15.83,53738.0,41163.0,5.67,18.83,20.63,260452.0,59840.0,53.91,483157.0,2.29,8.31,0.07155797101449278,-0.2472826086956521,-0.28406543198159234,CLAS-B.ST,90.3000030517578,71.5,-0.2081949326289845,-0.23344004451874475
